"instance_id","solver","time","type"
"g22-g103","lad",6313,"alg"
"g22-g104","lad",621,"alg"
"g22-g105","lad",651,"alg"
"g22-g106","lad",3278,"alg"
"g22-g107","lad",1510,"alg"
"g22-g108","lad",1897,"alg"
"g22-g110","lad",26681,"alg"
"g22-g111","lad",3342,"alg"
"g22-g112","lad",85,"alg"
"g22-g23","lad",0,"alg"
"g22-g25","lad",0,"alg"
"g22-g26","lad",3,"alg"
"g22-g27","lad",15,"alg"
"g22-g29","lad",38,"alg"
"g22-g30","lad",36,"alg"
"g22-g31","lad",1e+08,"alg"
"g22-g37","lad",41,"alg"
"g22-g38","lad",2,"alg"
"g22-g40","lad",202,"alg"
"g22-g43","lad",1e+08,"alg"
"g22-g44","lad",50,"alg"
"g22-g45","lad",48,"alg"
"g22-g46","lad",46,"alg"
"g22-g47","lad",48,"alg"
"g22-g48","lad",48,"alg"
"g22-g49","lad",1e+08,"alg"
"g22-g50","lad",216,"alg"
"g22-g51","lad",7,"alg"
"g22-g53","lad",35,"alg"
"g22-g54","lad",8,"alg"
"g22-g56","lad",25,"alg"
"g22-g58-normed","lad",1,"alg"
"g22-g59-normed","lad",2,"alg"
"g22-g60-normed","lad",16209846,"alg"
"g22-g63","lad",447,"alg"
"g22-g64","lad",7536357,"alg"
"g22-g65","lad",319,"alg"
"g22-g66-normed","lad",322,"alg"
"g22-g68","lad",1e+08,"alg"
"g22-g73-normed","lad",1e+08,"alg"
"g22-g74","lad",20,"alg"
"g22-g75","lad",308,"alg"
"g22-g76","lad",927,"alg"
"g22-g77","lad",1873,"alg"
"g22-g78","lad",1020,"alg"
"g22-g79","lad",17,"alg"
"g22-g81","lad",1445,"alg"
"g22-g82-normed","lad",1383,"alg"
"g22-g84","lad",2533,"alg"
"g22-g87","lad",26,"alg"
"g22-g88","lad",108,"alg"
"g22-g93-normed","lad",2440719,"alg"
"g23-g27","lad",2,"alg"
"g23-g40","lad",170,"alg"
"g23-g50","lad",148,"alg"
"g23-g60-normed","lad",32,"alg"
"g23-g64","lad",1e+08,"alg"
"g23-g73-normed","lad",240,"alg"
"g23-g76","lad",1360,"alg"
"g23-g77","lad",1702,"alg"
"g23-g84","lad",3315,"alg"
"g23-g93-normed","lad",6808763,"alg"
"g24-g101","lad",81792,"alg"
"g24-g102","lad",98635,"alg"
"g24-g103","lad",148470,"alg"
"g24-g104","lad",1045,"alg"
"g24-g105","lad",873,"alg"
"g24-g106","lad",3353,"alg"
"g24-g107","lad",1950,"alg"
"g24-g108","lad",1978,"alg"
"g24-g109","lad",604131,"alg"
"g24-g110","lad",12305,"alg"
"g24-g111","lad",2981,"alg"
"g24-g112","lad",1057,"alg"
"g24-g25","lad",1,"alg"
"g24-g26","lad",6,"alg"
"g24-g29","lad",1e+08,"alg"
"g24-g30","lad",1e+08,"alg"
"g24-g31","lad",1e+08,"alg"
"g24-g33","lad",4,"alg"
"g24-g35","lad",5,"alg"
"g24-g36","lad",3,"alg"
"g24-g38","lad",5,"alg"
"g24-g39","lad",4,"alg"
"g24-g41","lad",0,"alg"
"g24-g44","lad",28,"alg"
"g24-g45","lad",27,"alg"
"g24-g46","lad",1e+08,"alg"
"g24-g47","lad",1e+08,"alg"
"g24-g48","lad",1e+08,"alg"
"g24-g49","lad",29,"alg"
"g24-g51","lad",17,"alg"
"g24-g52","lad",2,"alg"
"g24-g54","lad",25,"alg"
"g24-g55","lad",27,"alg"
"g24-g56","lad",25,"alg"
"g24-g58-normed","lad",25,"alg"
"g24-g59-normed","lad",22,"alg"
"g24-g61","lad",36,"alg"
"g24-g62","lad",19,"alg"
"g24-g64","lad",1e+08,"alg"
"g24-g65","lad",26637,"alg"
"g24-g66-normed","lad",26500,"alg"
"g24-g67","lad",1657,"alg"
"g24-g69","lad",23,"alg"
"g24-g71","lad",23,"alg"
"g24-g72","lad",3,"alg"
"g24-g74","lad",96,"alg"
"g24-g75","lad",144,"alg"
"g24-g76","lad",5363,"alg"
"g24-g77","lad",7993,"alg"
"g24-g78","lad",201,"alg"
"g24-g79","lad",33,"alg"
"g24-g81","lad",204615,"alg"
"g24-g82-normed","lad",201474,"alg"
"g24-g83","lad",9939,"alg"
"g24-g84","lad",32544,"alg"
"g24-g87","lad",167,"alg"
"g24-g88","lad",257,"alg"
"g24-g90","lad",41799,"alg"
"g24-g91","lad",23,"alg"
"g24-g92","lad",92,"alg"
"g24-g93-normed","lad",1e+08,"alg"
"g24-g94","lad",695,"alg"
"g24-g95","lad",24,"alg"
"g24-g96","lad",112,"alg"
"g24-g97","lad",121,"alg"
"g24-g98","lad",195,"alg"
"g24-g99","lad",200,"alg"
"g25-g104","lad",94,"alg"
"g25-g105","lad",103,"alg"
"g25-g106","lad",421,"alg"
"g25-g107","lad",271,"alg"
"g25-g108","lad",206,"alg"
"g25-g110","lad",14387,"alg"
"g25-g111","lad",331,"alg"
"g25-g26","lad",3,"alg"
"g25-g27","lad",86,"alg"
"g25-g29","lad",24,"alg"
"g25-g30","lad",26,"alg"
"g25-g31","lad",36,"alg"
"g25-g40","lad",112,"alg"
"g25-g43","lad",113024,"alg"
"g25-g44","lad",30,"alg"
"g25-g45","lad",26,"alg"
"g25-g46","lad",22,"alg"
"g25-g47","lad",21,"alg"
"g25-g48","lad",27,"alg"
"g25-g49","lad",50,"alg"
"g25-g50","lad",77,"alg"
"g25-g51","lad",7,"alg"
"g25-g54","lad",7,"alg"
